,Nuclide,Pn,Pn err,lam,lam err
69,Si36,0.124,0.046,1.5403270679109895,0.20537694238813192
70,Si37,0.17,0.13,7.373906176169631,4.8636402438565645
71,Si38,0.28,0.07,7.296286111157318,0.7680301169639283
72,Si39,0.6,0.13,14.592572222314637,0.6144240935711427
73,Si40,0.59,0.12,21.00446001696804,0.6364987883929708
74,Si41,0.8,0.2,34.657359027997266,4.332169878499658
75,Si42,0.0,0.0,55.45177444479562,15.526496844542772
76,P36,0.0,0.0,0.12160476851928864,0.00853366796626587
77,P37,0.0,0.0,0.3000637145281148,0.015587725430031939
78,P38,0.12,0.053,1.1363068533769596,0.2607917368406137
79,P39,0.26,0.08,3.3977802968624773,0.749510359602017
80,P40,0.158,0.021,4.651994500402318,0.31221439600015555
81,P41,0.3,0.1,6.862843371880646,0.33974472138023
82,P42,0.5,0.2,14.291694444534954,0.44201116838767895
83,P43,0.95,0.05,18.990333713971104,0.7804246731768947
84,P44,0.0,0.0,37.46741516540245,5.063164211540872
85,S41,0.0,0.0,0.2665950694461328,0.14355119124022533
86,S42,0.005,0.005,0.6729584277281022,0.019600730904702008
87,S43,0.4,0.1,2.5390006613917406,0.25110995552226006
88,S44,0.18,0.03,6.931471805599452,0.06931471805599453
89,S45,0.54,0.1,10.19334089058743,0.2998041438408068
90,S46,0.0,0.0,13.862943611198904,2.218070977791825
91,Cl43,0.0,0.0,0.21831407261730562,0.0061884304049000015
92,Cl44,0.04,0.04,1.0663802777845313,0.08202925213727164
93,Cl45,0.24,0.04,1.732867951399863,0.18628330477548524
94,Cl46,0.6,0.09,2.9877033644825226,0.025756063486918297
95,Cl47,0.015,0.015,6.862843371880646,0.40769366565627596
96,Ar47,0.001,0.001,0.5635342931381669,0.013744738857028461
97,Ar48,0.38,0.06,1.6347810862262862,0.09253477846563885
98,Ar49,0.29,0.06,2.937064324406548,0.09956150252225586
99,Ar50,0.37,0.07,6.539124344905145,0.3701391138625554
100,K48,0.011399999999999999,0.0015,0.10148567797363767,0.0002971762166138731
101,K49,0.86,0.09,0.5488101192081911,0.021726449691535674
102,K50,0.28600000000000003,0.03,1.468532162203274,0.012445187815281982
103,K51,0.65,0.08,1.8990333713971104,0.02601415577256316
104,K52,0.768,0.09319334740205441,6.301338005090412,0.2864244547768369
105,K53,0.85,0.14142135623730953,23.104906018664845,3.850817669777474
106,K54,0.0,0.0,69.31471805599453,34.657359027997266
107,Ca51,0.0,0.0,0.06931471805599453,0.005545177444479563
108,Ca52,0.01,0.01,0.15068416968694465,0.009827228457844216
109,Ca53,0.4,0.1,1.5035730597829615,0.2935392090682571
110,Ca54,0.0,0.0,6.4780110332705165,0.8475902286522172
111,Ca55,0.0,0.0,31.50669002545206,2.864244547768369
112,Ca56,0.0,0.0,63.01338005090412,11.456978191073476
113,Sc51,0.0,0.0,0.05589896617418914,0.0004507981143079769
114,Sc52,0.0,0.0,0.08453014397072504,0.0020617108285542695
115,Sc53,0.0,0.0,0.28881132523331055,0.07220283130832764
116,Sc54,0.16,0.09,1.3177703052470442,0.037579001100200876
117,Sc55,0.17,0.07,7.2202831308327635,0.1504225652256826
118,Sc56,0.0,0.0,22.359586469675655,3.606384914463815
119,Sc56_m1,0.24,0.12,10.045611312462974,1.0191199882208815
120,Sc57,0.0,0.0,31.50669002545206,2.864244547768369
121,Sc58,0.0,0.0,57.76226504666211,24.067610436109213
122,Ti56,0.0,0.0,3.465735902799726,0.08664339756999315
123,Ti57,0.0,0.0,7.072930413876993,0.36086379662637713
124,Ti58,0.0,0.0,11.95081345793009,1.8544365710581172
125,Ti59,0.0,0.0,24.32095370385773,2.1334169915664676
126,Ti60,0.0,0.0,31.222845971168706,2.812869006411595
127,Ti61,0.0,0.0,46.20981203732969,12.322616543287918
128,V56,0.0,0.0,3.2090147248145615,0.059426198607677075
129,V57,0.0,0.0,1.9975423070891796,0.057566060723031116
130,V58,0.0,0.0,3.648143055578659,0.19200752924098208
131,V59,0.06,0.03,7.534208484347231,0.7370421343383161
132,V60,0.0,0.0,17.328679513998633,6.498254817749487
133,V60_m1,0.0,0.0,5.681534266884798,0.8382591541305437
134,V61,0.2,0.1,14.350873303518535,0.2971195300935514
135,V62,0.0,0.0,20.690960613729708,1.2352812306704302
136,V63,0.67,0.33,35.36465206938497,1.804318983131886
137,V64,0.0,0.0,46.20981203732969,6.161308271643959
138,Cr60,0.0,0.0,1.4088357328454173,0.03722533440445208
139,Cr61,0.0,0.0,2.9621674382903644,0.1265883520636908
